package,material,diffuse,normal,specular,emissive,source_gltf,source_metadata
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_book01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_book01_da_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_book01_na_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book01_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_book01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_book01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_book01_da_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_book01_na_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book01a_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_book01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_book02_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_book02_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_book02_na_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book02_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_book02_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_book02_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_book02_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_book02_na_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book02a_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_book02_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_bottle01_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_bottle01_n_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle01_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_bottle01_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_bottle01_n_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle01a_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle02_mi_pcs,,,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle02_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle02_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle02a_mi_pcs,,,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle02_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle02a_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle02b_mi_pcs,,,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle02_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle02b_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_bottle02_mi_pcs,,,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottledish01_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_bottle02_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chair01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_chair01_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chair01_n_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair01_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chair01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chair01_mi_alchemy,Textures/BG_LIM_COMMON_A/bg_lim_common_chair01_d_alchemy.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chair01_n_alchemy.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair01a_sm_alchemy.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chair01_mi_alchemy.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chair02_mi_pcs,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_d_pcs.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_n_pcs.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chair02_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chair02_mi_pcs,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_d_pcs.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_n_pcs.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02a_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chair02_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chair02_mi_pcs,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_d_pcs.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chair02_n_pcs.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02b_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chair02_mi_pcs.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chandelier01_mi_rsh,Textures/BG_LIM_COMMON_A/bg_lim_common_chandelier01_da_rsh.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chandelier01_n_rsh.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chandelier01_mi_rsh.mat
BG_LIM_COMMON_A,BG_LIM_COMMON_A__bg_lim_common_chandelier01a_mi_rsh,Textures/BG_LIM_COMMON_A/bg_lim_common_chandelier01a_d_rsh.png,Textures/BG_LIM_COMMON_A/bg_lim_common_chandelier01a_n_rsh.png,,,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01_sm.gltf,BG_LIM_COMMON_A/MaterialInstanceConstant/bg_lim_common_chandelier01a_mi_rsh.mat
